# 
# Duration (in s): 30
# Pointing Position of the Horn: Calibrator paddle
# Angle pointing (from vertical): -89.75
# Calibrator used: YES
# Weather: very clear
# Units: microWatt
# Comments: calibration (ambient)
1.582315160691066980e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315160790846109e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315160890580893e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315160990339994e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315161090111017e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315161206190109e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315161306149006e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315161405195951e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315161505131960e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315161604244947e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315161704176903e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315161803091049e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315161903105974e+09 1.554000000000000103e-01 2.741800000000000068e+02
1.582315162002199888e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315162101999998e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315162216238976e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315162314996958e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315162415057898e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315162514086962e+09 1.555999999999999883e-01 2.741899999999999977e+02
1.582315162613993883e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315162712877989e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315162813154936e+09 1.554999999999999993e-01 2.741800000000000068e+02
1.582315162912017107e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315163025952101e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315163125920057e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315163224920988e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315163324865103e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315163424108982e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315163523941994e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315163623049974e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315163723023891e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315163833508015e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315163936137915e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315164033066988e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164132839918e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315164232594967e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315164332333088e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315164432157040e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164531893969e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164631634951e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164731409073e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164845711946e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315164945785999e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165044883966e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165144818068e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165244795084e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165343770981e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165443820000e+09 1.554999999999999993e-01 2.741899999999999977e+02
1.582315165542753935e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315165657013893e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315165755691051e+09 1.554000000000000103e-01 2.741899999999999977e+02
1.582315165855843067e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315165955768108e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315166049719095e+09 1.552999999999999936e-01 2.741899999999999977e+02
1.582315166154750109e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315166253640890e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315166353516102e+09 1.550999999999999879e-01 2.741899999999999977e+02
1.582315166452687025e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315166566714048e+09 1.552000000000000046e-01 2.741899999999999977e+02
1.582315166666738987e+09 1.550999999999999879e-01 2.741899999999999977e+02
